id,YEAR,Montant achat,zip,Type
1903,2013,849.03,1000,H29
1919,2013,630.69,1000,H30
1944,2013,47.62,1000,H33
1948,2013,1983.73,1000,H29
2005,2013,3374.52,1000,H29
2009,2013,153.16,1000,H29
2010,2013,7141.69,1000,H30
2020,2013,1008.11,1000,H30
2026,2013,24.16,1000,H30
2045,2013,1128.58,1000,H30
2141,2013,947.12,1000,H30
2142,2013,298.05,1000,H30
2155,2013,4348.5,1000,H29
2160,2013,923.92,1000,H30
2179,2013,4337.23,1000,H30
2202,2013,1364.95,1000,H30
2229,2013,492.7,1000,H29
2237,2013,7540.85,1000,H30
2240,2013,896.13,1000,H30
2299,2013,1656.92,1000,H30
2304,2013,2240.34,1000,H30
2318,2013,12670.71,1000,H30
2341,2013,1090.56,1000,H30
2345,2013,1304.73,1000,H30
2379,2013,2502.13,1000,A01
2383,2013,174.18,1000,H30
2385,2013,41.62,1000,H30
2387,2013,6421.3,1000,H30
2393,2013,6407.08,1000,H30
2407,2013,5324.94,1000,H29
2438,2013,18781.78,1000,H32
2457,2013,2259.93,1000,H33
2461,2013,3693.25,1000,H29
2493,2013,64.13,1000,H29
2534,2013,32.12,1000,H30
2553,2013,7605.42,1000,H30
2589,2013,6320.9,1000,H30
2600,2013,5970.49,1000,H30
2626,2013,5927.7,1000,H30
2704,2013,1635.89,1000,H30
2707,2013,1295.67,1000,H29
2738,2013,5958.76,1000,H29
2764,2013,2169.41,1000,H30
2806,2013,380.63,1000,H31
2830,2013,265.83,1000,H29
2832,2013,107.83,1000,H30
2856,2013,1416.67,1000,H29
2861,2013,530.51,1000,H30
2865,2013,397.95,1000,H29
2880,2013,244.52,1000,H30
2935,2013,2807.85,1000,H29
2968,2013,3195.14,1000,H30
3005,2013,1882.13,1000,H29
3017,2013,4689.16,1000,H30
3021,2013,50.51,1000,H30
3059,2013,10893.3,1000,H30
3075,2013,4775.37,1000,H30
3087,2013,253.79,1000,H30
3099,2013,7736.37,1000,H30
3155,2013,6344.04,1000,H31
3168,2013,5256.83,1000,H30
3170,2013,1239.29,1000,H30
3172,2013,2489.87,1000,H30
3176,2013,4010.22,1000,H30
3180,2013,508.08,1000,H30
3192,2013,400.64,1000,H30
3211,2013,2139.79,1000,H29
3273,2013,79.33,1000,H30
3335,2013,3408.03,1000,H29
3358,2013,135,1000,H30
3368,2013,8477.37,1000,H30
3424,2013,60.52,1000,H30
3448,2013,6919.4,1000,H29
3478,2013,5139.89,1000,H30
3492,2013,1053.22,1000,H30
3496,2013,144.78,1000,H30
3503,2013,27.81,1000,H30
3549,2013,92.94,1000,H30
3574,2013,6109.04,1000,H29
3576,2013,6409.53,1000,H30
3608,2013,3085.03,1000,H31
3614,2013,7025.31,1000,H30
3626,2013,10.71,1000,H32
3633,2013,2152.81,1000,H30
3637,2013,934.24,1000,H30
3638,2013,1383.87,1000,H29
3672,2013,4952.32,1000,H32
3705,2013,1285.09,1000,H29
3721,2013,194.96,1000,H29
3756,2013,4277.43,1000,H30
3782,2013,7544.27,1000,H30
3784,2013,15604.23,1000,H29
3809,2013,11054.39,1000,H29
3848,2013,2241.85,1000,H30
3857,2013,201.16,1000,H30
3880,2013,6600.48,1000,H30
3887,2013,3143.42,1000,H30
3924,2013,843.8,1000,H29
3960,2013,4328.75,1000,H29
3972,2013,98.54,1000,H30
4025,2013,3681.5,1000,H29
4083,2013,3854.78,1000,H30
4093,2013,986.58,1000,H29
4119,2013,237.6,1000,H30
4124,2013,2255.16,1000,H30
4201,2013,3134.18,1000,H32
4220,2013,6700.35,1000,H30
4249,2013,7518.87,1000,H29
4273,2013,2932.34,1000,H30
4297,2013,384.79,1000,H30
4298,2013,211.38,1000,H30
4326,2013,6280.43,1000,H29
4344,2013,2276.97,1000,H30
4380,2013,1431.23,1000,H30
4402,2013,9282.73,1000,H30
4408,2013,9508.8,1000,H30
4416,2013,115.09,1000,H29
4456,2013,447.4,1000,H30
4482,2013,1090.41,1000,H30
4487,2013,620.16,1000,H30
4492,2013,1851.54,1000,H30
4519,2013,8983.75,1000,H30
4520,2013,1200.98,1000,H30
4544,2013,3822.1,1000,H29
4563,2013,1725.98,1000,H30
4607,2013,8076.31,1000,H30
4608,2013,167.54,1000,H32
4632,2013,187.71,1000,H30
4634,2013,1958.7,1000,H30
4661,2013,2136.64,1000,H30
4701,2013,306.84,1000,H30
4716,2013,4790.74,1000,H29
4717,2013,1311.34,1000,H30
4732,2013,231.26,1000,H30
4794,2013,1044.48,1000,H30
4818,2013,4949.99,1000,H30
4820,2013,109.58,1000,H32
4825,2013,230.19,1000,H30
4858,2013,18963.63,1000,H29
4894,2013,5371.13,1000,H30
4902,2013,883.55,1000,H30
4930,2013,33075.93,1000,H30
